N,P,K,temperature,humidity,ph,rainfall,label
71.894,23.187,91.689,26.317,61.513,6.847,44.159,Wheat
105.29,28.818,53.715,17.01,88.374,6.495,218.194,Wheat
79.631,42.206,49.635,29.283,51.857,4.678,252.973,Wheat
16.854,44.87,55.139,18.39,33.492,8.213,118.714,Wheat
64.769,85.587,38.222,15.164,54.922,6.082,298.269,Wheat
33.938,76.674,65.93,29.344,35.517,6.997,58.759,Wheat
80.675,10.234,79.256,23.826,37.843,6.153,64.223,Wheat
36.883,19.141,14.257,25.535,41.313,8.172,200.176,Wheat
72.83,25.652,77.483,40.465,77.435,6.406,337.284,Wheat
59.237,84.605,86.252,10.317,33.89,6.174,343.934,Wheat
110.363,69.921,36.28,31.241,69.267,5.581,327.318,Wheat
34.854,78.214,99.799,26.134,96.634,5.539,326.317,Wheat
77.416,30.723,99.695,28.471,94.392,4.572,174.165,Wheat
28.249,28.607,48.857,26.036,49.225,5.002,253.818,Wheat
7.902,85.47,24.858,10.674,99.373,4.786,372.495,Wheat
49.72,16.367,18.404,20.807,44.424,5.646,134.111,Wheat
35.068,17.455,21.896,10.325,41.537,6.521,103.431,Wheat
13.825,56.598,99.076,13.223,92.102,6.209,271.31,Wheat
6.607,17.438,81.11,40.658,44.116,6.235,308.043,Wheat
106.085,15.366,52.367,29.821,54.559,6.248,361.996,Wheat
34.123,78.347,66.828,17.719,31.707,5.472,228.437,Wheat
86.075,42.602,56.314,36.879,88.637,7.985,330.989,Wheat
128.702,84.404,40.085,22.457,45.038,7.68,95.57,Wheat
34.896,31.487,67.95,27.053,41.522,4.97,177.131,Wheat
100.558,44.121,24.747,38.394,79.305,6.982,85.449,Wheat
113.807,84.677,82.139,27.121,66.464,6.341,264.702,Wheat
95.359,89.323,15.24,17.046,55.177,6.133,313.353,Wheat
25.217,78.219,38.182,17.114,42.682,8.244,178.81,Wheat
28.917,48.813,47.677,36.933,75.786,4.583,244.994,Wheat
56.327,69.077,97.661,24.591,31.354,4.622,255.198,Wheat
145.825,28.412,99.462,44.363,61.032,4.813,257.32,Wheat
78.371,20.991,82.935,11.022,39.554,6.591,68.605,Wheat
23.682,59.061,27.938,42.779,59.873,7.967,175.453,Wheat
59.52,44.175,20.134,40.003,67.956,5.207,344.879,Wheat
99.516,61.664,35.958,10.448,86.327,5.592,118.215,Wheat
49.11,21.522,30.176,12.189,41.599,6.896,293.496,Wheat
83.534,46.659,17.302,22.612,46.878,5.15,332.796,Wheat
78.096,54.769,71.3,24.414,52.476,7.83,109.347,Wheat
14.79,71.374,29.148,38.261,79.6,5.427,207.52,Wheat
144.285,86.867,39.078,33.446,96.861,6.862,110.681,Wheat
62.826,57.01,54.072,36.656,59.195,7.59,347.106,Wheat
24.651,78.603,19.51,11.957,82.897,5.776,190.882,Wheat
128.652,27.547,99.067,28.136,73.177,7.188,221.585,Wheat
85.859,55.263,52.493,11.487,49.914,7.513,221.109,Wheat
88.58,60.416,62.574,38.133,75.27,8.34,310.435,Wheat
79.334,89.433,28.952,15.714,67.001,7.206,54.516,Wheat
105.106,70.867,68.448,25.498,85.438,8.287,106.663,Wheat
89.109,9.116,82.267,35.302,85.58,6.26,116.851,Wheat
26.117,80.225,98.692,40.704,61.645,5.917,397.367,Wheat
68.91,63.398,62.119,31.031,70.195,6.827,225.592,Wheat
124.479,37.146,66.5,30.967,77.231,5.196,285.481,Wheat
104.033,36.367,87.239,34.188,56.757,6.86,230.295,Wheat
23.577,56.841,59.744,44.202,66.926,8.335,350.83,Wheat
146.562,58.58,57.965,43.264,77.918,7.77,93.101,Wheat
12.887,44.091,14.167,27.662,40.709,7.86,330.832,Wheat
45.991,15.408,45.775,18.528,80.275,6.49,393.975,Wheat
25.391,17.775,49.32,26.561,70.751,7.747,56.627,Wheat
110.492,54.902,93.725,31.272,65.317,6.066,267.39,Wheat
5.986,13.365,25.134,40.42,45.526,6.012,209.024,Wheat
26.938,40.916,89.576,10.31,44.697,5.071,395.325,Wheat
118.268,75.591,25.162,11.053,52.383,6.592,100.073,Wheat
147.12,71.873,51.792,24.733,51.307,6.573,325.328,Wheat
121.394,74.355,15.942,31.442,66.661,5.976,300.025,Wheat
43.179,53.747,25.189,13.09,88.142,6.852,61.921,Wheat
28.682,57.223,70.15,15.436,35.32,5.606,329.566,Wheat
121.593,46.55,40.082,23.68,65.346,7.894,293.026,Wheat
33.781,60.502,34.527,23.3,31.905,8.48,227.984,Wheat
140.499,19.136,58.602,14.371,75.372,7.045,276.814,Wheat
131.887,28.32,71.147,12.933,81.122,6.693,213.149,Wheat
28.203,89.963,39.833,31.569,41.76,8.31,265.739,Wheat
141.879,63.598,63.451,34.884,43.9,5.511,358.673,Wheat
12.052,16.694,69.702,30.813,42.24,5.408,374.864,Wheat
114.934,21.468,14.875,40.577,73.115,4.81,209.67,Wheat
90.366,71.422,90.203,20.736,33.791,7.323,22.198,Wheat
76.343,14.132,58.293,28.914,68.011,6.626,116.759,Wheat
39.331,5.984,35.024,41.482,50.203,6.768,67.814,Wheat
128.755,48.987,77.96,44.721,71.834,5.713,103.323,Wheat
127.109,85.688,24.178,41.365,70.186,7.182,243.515,Wheat
54.38,49.78,90.232,11.798,61.49,4.573,114.674,Wheat
41.884,34.62,25.361,17.12,31.246,7.58,85.021,Wheat
117.329,16.772,30.056,34.362,39.047,6.401,398.602,Wheat
25.199,8.902,95.831,33.835,35.84,5.176,246.234,Wheat
21.226,65.031,92.515,15.904,36.498,6.345,286.063,Wheat
137.496,6.41,93.249,38.338,74.623,4.831,331.053,Wheat
143.403,8.815,53.959,25.35,54.876,6.282,273.731,Wheat
134.075,24.109,42.083,38.356,43.782,4.976,357.003,Wheat
63.12,65.246,32.653,23.741,69.298,6.583,300.057,Wheat
56.517,87.515,50.883,39.965,38.322,8.154,258.938,Wheat
123.561,20.26,71.696,20.271,76.663,4.677,213.601,Wheat
148.646,5.536,28.217,20.813,41.124,6.989,227.8,Wheat
68.581,84.42,27.507,44.09,89.486,6.878,188.196,Wheat
41.009,65.391,34.591,31.063,55.002,5.073,194.577,Wheat
106.27,52.132,10.055,24.37,50.189,5.494,46.023,Wheat
21.736,15.587,53.164,29.079,92.519,4.688,160.224,Wheat
140.537,28.445,92.608,43.692,39.274,7.667,365.323,Wheat
125.823,78.119,81.519,36.566,47.74,5.724,116.882,Wheat
27.702,55.129,93.897,14.564,62.818,5.681,179.145,Wheat
5.854,38.954,79.199,18.815,80.886,5.374,179.001,Wheat
75.103,64.465,57.398,30.117,52.021,4.638,107.279,Wheat
140.939,10.122,85.587,28.924,95.752,6.241,77.174,Wheat
128.905,65.106,21.879,43.864,85.917,7.097,34.612,Wheat
37.069,74.281,82.799,44.729,99.607,8.307,380.284,Wheat
86.624,28.874,99.236,28.633,93.953,5.073,259.007,Wheat
51.143,78.163,34.096,39.885,38.28,6.818,291.528,Wheat
143.195,69.971,64.008,43.969,79.219,7.708,60.606,Wheat
53.782,6.275,82.83,11.592,60.096,6.165,180.951,Wheat
32.254,56.074,69.496,33.875,79.39,6.567,257.143,Wheat
134.815,64.683,48.527,39.618,78.861,4.507,155.012,Wheat
59.215,54.708,67.216,24.616,85.196,5.431,232.808,Wheat
32.757,14.271,68.82,29.428,47.034,6.1,263.752,Wheat
53.921,12.119,71.756,24.37,53.431,5.305,42.029,Wheat
60.352,23.563,48.986,44.469,40.636,7.058,20.687,Wheat
141.702,63.115,46.519,15.69,51.745,4.593,52.709,Wheat
23.017,74.9,84.504,30.04,40.766,8.311,37.907,Wheat
37.413,75.211,54.943,23.66,85.829,5.005,84.555,Wheat
145.134,72.441,78.811,27.88,51.939,7.397,122.869,Wheat
132.51,49.896,94.804,16.544,43.42,7.533,339.853,Wheat
98.595,34.073,29.247,21.083,97.803,6.473,136.631,Wheat
46.045,10.361,30.913,29.739,67.239,6.415,187.581,Wheat
73.222,52.985,43.573,27.921,59.441,6.167,77.531,Wheat
78.364,78.641,99.486,31.235,39.687,6.312,29.339,Wheat
131.346,54.597,19.24,10.954,56.556,7.486,388.688,Wheat
122.176,82.693,11.268,31.079,58.569,6.069,389.781,Wheat
122.81,84.509,78.141,32.806,55.023,8.038,268.89,Wheat
63.839,64.733,51.488,38.135,30.07,5.301,154.03,Wheat
31.453,5.249,42.344,37.107,77.41,6.058,56.084,Wheat
113.991,57.276,74.667,38.195,51.238,8.444,254.453,Wheat
71.042,81.717,57.482,10.451,44.944,7.508,374.376,Wheat
135.627,53.92,38.748,33.573,53.423,6.246,375.525,Wheat
116.499,49.897,14.393,26.466,68.822,4.986,367.527,Wheat
143.704,46.119,93.481,12.339,30.128,7.993,41.488,Wheat
31.836,40.037,17.279,15.821,45.435,7.251,247.741,Wheat
86.668,39.21,60.943,43.276,32.852,5.35,345.107,Wheat
145.831,7.509,83.049,32.189,31.499,6.455,161.518,Wheat
45.355,73.387,15.03,28.656,64.421,8.235,212.546,Wheat
26.412,28.49,10.02,16.206,44.469,5.351,288.298,Wheat
47.194,70.499,97.311,29.327,84.442,4.989,37.963,Wheat
85.778,44.481,84.423,13.75,76.767,6.428,288.642,Wheat
107.484,21.932,12.211,25.204,78.873,7.476,291.555,Wheat
137.563,33.61,79.556,40.431,58.873,6.356,163.056,Wheat
44.543,57.32,59.121,42.883,58.743,5.014,236.816,Wheat
139.962,45.023,86.559,44.338,63.345,5.147,72.205,Wheat
5.371,62.377,77.085,43.601,68.423,6.646,141.929,Wheat
101.695,19.738,20.599,18.684,93.198,4.796,152.508,Wheat
51.492,33.971,94.374,28.614,44.577,6.78,202.686,Wheat
108.446,51.002,17.965,44.886,53.822,6.301,172.193,Wheat
93.176,25.799,17.688,26.497,58.884,6.019,327.298,Wheat
46.666,59.593,79.598,16.68,62.859,6.252,80.836,Wheat
45.117,69.751,84.24,36.342,43.301,7.975,338.217,Wheat
33.082,82.927,76.541,22.998,33.281,5.021,267.518,Wheat
79.815,24.99,92.074,34.203,51.867,8.237,350.743,Wheat
117.016,80.537,15.888,21.437,55.883,6.454,184.155,Wheat
113.806,32.301,15.949,40.662,74.974,6.549,45.701,Wheat
83.832,54.816,27.609,44.058,35.374,4.892,284.75,Wheat
32.767,75.294,80.421,36.568,71.455,7.587,87.53,Wheat
84.115,25.898,71.198,13.056,63.959,7.39,235.751,Wheat
13.601,5.977,19.079,32.106,90.41,7.838,259.669,Wheat
40.105,84.286,92.013,16.83,52.152,5.362,386.976,Wheat
77.35,41.911,46.415,37.257,56.097,5.912,214.24,Wheat
19.622,42.685,52.672,11.741,52.714,5.69,137.512,Wheat
140.812,8.185,70.867,12.927,46.741,5.856,262.276,Wheat
104.925,27.12,29.567,18.862,30.477,4.972,33.25,Wheat
60.734,20.766,62.122,28.805,32.887,5.388,159.202,Wheat
128.526,86.985,12.125,35.347,59.569,4.856,396.031,Wheat
122.286,67.823,71.491,12.796,81.456,6.476,340.789,Wheat
127.426,45.869,16.441,39.847,66.305,7.798,249.749,Wheat
24.935,38.754,80.031,15.43,79.953,5.04,167.202,Wheat
110.803,17.952,41.323,36.837,41.71,5.716,48.171,Wheat
82.103,57.511,54.693,23.36,95.431,7.54,64.895,Wheat
140.777,38.056,56.28,29.924,44.217,6.384,135.899,Wheat
98.968,58.02,58.403,36.351,60.732,5.406,253.636,Wheat
130.497,75.281,34.673,41.626,78.857,5.93,364.076,Wheat
47.117,76.079,80.276,20.526,95.532,5.84,163.45,Wheat
98.262,11.075,48.85,17.092,68.285,5.293,176.599,Wheat
136.365,23.68,60.757,44.583,91.94,8.054,347.097,Wheat
45.717,5.044,74.625,35.989,51.365,7.716,375.255,Wheat
107.509,36.411,47.146,23.131,65.031,5.283,178.819,Wheat
108.796,37.26,40.99,31.559,35.544,7.385,157.362,Wheat
30.137,21.881,36.803,37.172,96.85,7.611,294.187,Wheat
97.053,49.13,42.028,33.894,54.484,4.833,211.21,Wheat
126.971,54.763,18.639,38.951,47.305,6.815,315.225,Wheat
70.461,11.659,73.157,39.691,87.491,7.897,177.06,Wheat
76.682,65.926,39.836,33.341,64.845,5.266,162.742,Wheat
19.085,30.069,55.608,43.911,44.726,5.911,271.126,Wheat
7.522,20.939,43.626,21.435,85.761,6.848,83.013,Wheat
43.594,67.49,25.332,35.559,54.63,7.562,45.562,Wheat
101.923,30.536,82.648,33.641,77.973,6.026,363.15,Wheat
39.023,30.605,73.769,40.881,67.025,4.681,232.181,Wheat
113.913,64.283,83.901,23.42,77.467,6.085,121.732,Wheat
146.669,84.421,89.547,12.56,46.786,7.786,38.149,Wheat
111.141,73.618,62.131,37.75,41.36,6.962,142.78,Wheat
21.187,51.274,37.841,26.499,46.97,8.011,24.097,Wheat
148.579,59.569,52.468,36.932,67.788,5.393,224.865,Wheat
128.351,41.21,66.968,29.873,53.252,7.338,141.258,Wheat
88.347,40.689,69.078,37.248,62.304,5.868,362.025,Wheat
29.207,35.144,51.634,36.686,51.249,4.903,163.256,Wheat
126.25,35.441,58.263,36.118,46.287,5.345,267.963,Wheat
135.402,69.852,26.922,18.237,48.799,4.87,202.377,Wheat
66.816,31.464,27.747,22.257,46.09,6.959,118.963,Wheat
113.814,83.117,19.243,43.166,32.523,5.158,340.796,Wheat
133.423,81.225,68.302,24.952,96.44,8.102,359.354,Wheat
87.943,28.892,28.973,36.896,98.644,8.451,26.436,Wheat
95.462,48.963,20.909,13.546,35.226,5.481,325.67,Wheat
37.375,41.371,83.024,20.623,86.28,5.063,129.761,Wheat
104.185,50.739,62.122,10.722,59.984,6.317,307.383,Wheat
53.697,71.563,36.75,17.912,97.626,4.999,61.582,Wheat
118.035,37.331,76.865,37.009,35.155,7.39,164.811,Wheat
108.67,35.414,56.923,23.182,62.996,4.582,389.878,Wheat
89.007,62.421,60.859,28.334,91.837,7.588,217.14,Wheat
60.934,78.39,77.954,14.849,51.341,4.691,92.606,Wheat
67.824,88.845,79.387,28.368,94.102,5.335,37.294,Wheat
68.071,56.197,99.674,32.167,63.542,7.54,328.273,Wheat
119.424,32.275,44.57,34.726,36.156,4.548,72.182,Wheat
137.915,85.969,75.577,12.126,85.926,8.431,310.812,Wheat
23.239,62.087,42.942,36.94,90.662,7.41,219.942,Wheat
8.836,69.796,62.585,32.183,48.504,5.08,84.541,Wheat
78.289,16.981,29.496,43.743,68.253,8.009,389.158,Wheat
62.564,84.48,47.367,21.903,47.835,7.595,382.288,Wheat
126.008,42.054,71.778,18.068,57.765,7.888,70.645,Wheat
27.888,45.119,91.208,44.472,39.905,7.997,280.84,Wheat
56.526,44.165,33.243,27.533,38.385,7.918,273.214,Wheat
106.57,64.773,25.557,30.996,35.268,6.431,337.784,Wheat
71.527,6.907,23.081,18.711,75.448,8.118,240.188,Wheat
7.801,52.894,24.77,33.142,83.683,7.459,383.766,Wheat
75.089,52.174,22.716,41.322,59.747,4.97,21.516,Wheat
131.82,63.006,50.88,22.574,73.625,8.009,257.499,Wheat
8.98,19.458,45.207,38.823,72.259,4.748,293.37,Wheat
92.766,52.088,53.13,20.562,52.213,5.777,365.205,Wheat
99.212,64.589,82.657,29.737,56.19,7.575,296.839,Wheat
6.674,38.777,75.492,43.213,45.983,7.204,127.828,Wheat
60.0,84.735,56.572,40.654,73.794,7.515,159.962,Wheat
42.994,63.137,15.586,30.162,33.415,8.116,391.583,Wheat
149.344,13.75,37.205,14.168,49.128,5.158,256.084,Wheat
17.181,49.697,32.426,34.03,88.771,5.262,222.569,Wheat
99.998,87.491,41.529,36.044,94.554,4.603,344.21,Wheat
145.153,60.694,97.837,32.283,48.13,5.701,147.531,Wheat
6.8,67.826,56.679,12.209,74.707,6.128,315.875,Wheat
50.709,62.178,63.021,21.822,50.943,8.134,162.318,Wheat
16.848,76.494,68.917,29.939,43.776,6.923,192.143,Wheat
59.993,18.04,45.999,23.189,46.931,6.116,380.959,Wheat
144.676,59.191,74.017,16.274,62.144,6.721,155.05,Wheat
18.004,86.674,63.357,33.661,46.644,8.313,330.011,Wheat
18.447,52.979,75.662,25.091,63.806,7.592,297.007,Wheat
30.485,44.861,45.858,24.027,72.838,7.662,278.238,Wheat
47.538,35.677,33.078,20.287,46.96,6.6,253.969,Wheat
58.606,7.651,83.85,26.675,41.821,6.739,74.067,Wheat
135.631,83.757,19.009,21.645,34.01,7.715,98.114,Wheat
55.709,69.602,62.698,37.735,85.034,8.127,381.162,Wheat
125.203,6.566,64.277,15.872,62.237,7.019,120.815,Wheat
40.206,45.389,56.073,25.081,89.126,6.398,93.344,Wheat
18.327,8.15,71.309,35.748,32.654,6.563,142.142,Wheat
131.253,16.07,21.802,16.079,50.685,6.967,96.021,Wheat
41.123,79.84,74.392,28.852,51.57,5.727,185.394,Wheat
96.594,30.898,72.673,26.778,60.289,4.749,75.148,Wheat
101.962,61.954,51.822,38.453,87.863,5.621,183.905,Wheat
20.704,5.046,87.421,42.189,50.919,5.163,151.183,Wheat
140.207,34.131,80.465,29.337,70.089,7.342,139.785,Wheat
21.058,59.356,33.625,25.918,83.189,4.86,155.274,Wheat
102.351,49.938,98.769,14.364,37.762,7.636,242.23,Wheat
5.029,85.36,94.251,33.143,80.885,5.181,32.851,Wheat
